ID,Date_EC,Age,Gestante,Lactation,Res1GP-ZEBVkiss
CCCA03525,1/27/2019,,,,0
CCCA03531,1/27/2019,,,,0
CCCA03535,1/27/2019,,,,0
CCCA03547,1/29/2019,,0,1,1
CCCA03548,1/29/2019,,0,1,0
CCCA03540,1/29/2019,,0,0,0
CCCA03541,1/29/2019,,,,0
CCCA03543,1/29/2019,,,,1
CCCA03553,1/31/2019,,0,1,0
CCCA03554,1/31/2019,,0,1,0
CCCA03558,1/31/2019,,,,0
CCCA03562,2/1/2019,,0,1,0
CCCA03563,2/1/2019,,0,1,0
CCCA03567,2/1/2019,,0,1,0
CCCA03561,2/1/2019,,0,0,0
CCCA03560,2/1/2019,,,,0
CCCA03564,2/1/2019,,,,0
CCCA03568,2/26/2019,,0,0,1
CCCA03572,2/26/2019,,0,0,0
CCCA03571,2/26/2019,,,,0
CCCA03574,2/26/2019,,,,0
CCCA03580,2/28/2019,,0,1,0
CCCA03575,2/28/2019,,0,0,1
CCCA03577,2/28/2019,,0,0,0
CCCA03578,2/28/2019,,,,0
CCCA03581,2/28/2019,,,,0
CCCA03674,3/1/2019,Juv̩nile,0,0,0
CCCA03582,3/2/2019,,,,0
CCCA03583,3/2/2019,,,,0
CCCA03586,3/3/2019,,0,0,0
CCCA03588,3/3/2019,,0,0,0
CCCA03584,3/3/2019,,,,0
CCCA03589,3/5/2019,,0,1,0
CCCA03598,3/5/2019,,0,1,0
CCCA03604,3/5/2019,,0,1,0
CCCA03605,3/5/2019,,0,1,0
CCCA03606,3/5/2019,,0,1,0
CCCA03596,3/5/2019,,0,0,0
CCCA03621,3/6/2019,,0,0,0
CCCA03622,3/6/2019,,0,0,1
CCCA03624,3/28/2019,Juv̩nile,0,0,0
CCCA03629,3/28/2019,Juv̩nile,0,0,0
CCCA03638,3/28/2019,Juv̩nile,0,0,0
CCCA03647,3/28/2019,Juv̩nile,0,0,0
CCCA03654,3/28/2019,Juv̩nile,0,0,0
CCCA03626,3/28/2019,Juv̩nile,,,0
CCCA03632,3/28/2019,Adulte,,,0
CCCA03634,3/28/2019,Adulte,,,0
CCCA03658,3/29/2019,Juv̩nile,0,0,0
CCCA03659,3/29/2019,Juv̩nile,0,0,0
CCCA03671,3/29/2019,Juv̩nile,,,0
CCCA03694,4/1/2019,Juv̩nile,0,0,0
CCCA03681,4/1/2019,Juv̩nile,,,0
CCCA03697,4/2/2019,Juv̩nile,0,0,0
CCCA03717,4/2/2019,Juv̩nile,0,0,0
CCCA03711,4/2/2019,Juv̩nile,,,0
CCCA03712,4/2/2019,Juv̩nile,,,0
CCCA03736,4/4/2019,Adulte,0,1,1
CCCA03733,4/4/2019,Adulte,0,0,0
CCCA03734,4/4/2019,Adulte,0,0,0
CCCA03723,4/4/2019,Adulte,,,0
CCCA03724,4/4/2019,Adulte,,,1
CCCA03731,4/4/2019,Adulte,,,0
CCCA03745,4/5/2019,Adulte,0,1,0
CCCA03752,4/5/2019,Adulte,0,1,1
CCCA03741,4/5/2019,Adulte,0,0,1
CCCA03744,4/5/2019,Adulte,0,0,0
CCCA03758,5/3/2019,Adulte,0,0,0
CCCA03761,5/3/2019,Adulte immature,0,0,0
CCCA03771,5/3/2019,Adulte immature,0,0,0
CCCA03790,5/3/2019,Adulte,0,0,1
CCCA03792,5/3/2019,Juv̩nile,0,0,0
CCCA03759,5/3/2019,Adulte,,0,0
CCCA03793,5/3/2019,Juv̩nile,,,0
CCCA03794,5/3/2019,Juv̩nile,,,0
CCCA03795,5/3/2019,Juv̩nile,,,0
CCCA03796,5/4/2019,Juv̩nile,,,0
CCCA03797,5/4/2019,Juv̩nile,,,0
CCCA03835,5/6/2019,Adulte,0,0,0
CCCA03844,5/6/2019,Juv̩nile,0,0,0
CCCA03845,5/6/2019,Juv̩nile,0,0,0
CCCA03834,5/6/2019,Juv̩nile,,,0
CCCA03872,5/7/2019,Adulte immature,0,0,0
CCCA03877,5/9/2019,Juv̩nile,,,0
CCCA03923,5/11/2019,Juv̩nile,0,0,0
CCCA03910,5/11/2019,Adulte immature,,,0
CCCA03927,5/11/2019,Juv̩nile,,,0
CCCA03933,6/12/2019,Juv̩nile,0,0,0
CCCA03964,6/12/2019,Juv̩nile,,,0
CCCA03983,6/15/2019,Adulte,0,0,0
CCCA03985,6/17/2019,Juv̩nile,,,1
CCCA03992,6/17/2019,Juv̩nile,,,0
CCCA03993,6/17/2019,Juv̩nile,,,0
CCCA03995,6/18/2019,Juv̩nile,,,0
CCCA03999,6/18/2019,Juv̩nile,,,0
CCCA04003,6/19/2019,Adulte,1,0,0
CCCA04018,6/19/2019,Adulte,1,0,0
CCCA04013,6/19/2019,Adulte,0,0,1
CCCA04019,6/19/2019,Adulte,,,0
CCCA04034,6/20/2019,Adulte immature,,,0
CCCA04051,7/13/2019,,0,0,1
CCCA04039,7/13/2019,Adulte immature,,,0
CCCA04135,7/18/2019,Juv̩nile,0,0,0
CCCA04141,7/18/2019,Adulte immature,,,0
CCCA04154,7/20/2019,Adulte,0,0,0
CCCA04155,7/20/2019,,0,0,1
CCCA04180,9/14/2019,Adulte immature,0,1,0
CCCA04182,9/14/2019,Adulte,0,0,1
CCCA04184,9/14/2019,Juv̩nile,,,1
CCCA04186,9/14/2019,Adulte immature,,,0
CCCA04200,9/16/2019,Adulte,0,0,0
CCCA04195,9/16/2019,Adulte,,,0
CCCA04199,9/16/2019,Juv̩nile,,,0
CCCA04216,9/17/2019,Juv̩nile,,,0
CCCA04217,9/17/2019,Juv̩nile,,,0
CCCA04221,9/17/2019,Juv̩nile,,,0
CCCA04222,9/17/2019,Juv̩nile,,,0
CCCA04225,9/20/2019,Adulte immature,0,0,1
CCCA04226,9/20/2019,Adulte,0,0,0
CCCA04227,9/20/2019,Adulte immature,,,0
CCCA04228,9/20/2019,Juv̩nile,,,0
CCCA04233,9/20/2019,Juv̩nile,,,0
CCCA04242,9/21/2019,Adulte immature,0,0,0
CCCA04246,9/21/2019,Adulte,,,1
CCCA04262,9/21/2019,Adulte immature,,,1
CCCA04301,10/9/2019,Juv̩nile,0,0,0
CCCA04302,10/9/2019,Juv̩nile,0,0,0
CCCA04304,10/9/2019,Juv̩nile,0,0,0
CCCA04294,10/9/2019,Adulte,,0,1
CCCA04292,10/9/2019,Juv̩nile,,,0
CCCA04293,10/9/2019,Adulte,,,0
CCCA04296,10/9/2019,Adulte immature,,,0
CCCA04310,10/10/2019,Adulte immature,,,0
CCCA04312,10/10/2019,Juv̩nile,,,1
CCCA04324,10/11/2019,Juv̩nile,0,0,0
CCCA04337,10/11/2019,Adulte immature,,,0
CCCA04341,10/14/2019,Juv̩nile,,,0
CCCA04344,10/14/2019,Juv̩nile,,,0
CCCA04279,10/22/2019,Adulte,0,0,1
CCCA04270,10/22/2019,Adulte,,0,1
CCCA04363,10/29/2019,Adulte,,,0
CCCA04364,10/30/2019,Adulte,0,0,0
CCCA04390,11/4/2019,Adulte immature,,,0
CCCA04420,11/5/2019,Adulte immature,0,0,0
CCCA04421,11/5/2019,Adulte immature,0,0,0
CCCA04422,11/5/2019,Juv̩nile,0,0,0
CCCA04440,11/22/2019,Juv̩nile,0,0,0
CCCA04445,11/22/2019,Adulte,,,0
CCCA04460,11/23/2019,Adulte,0,0,1
CCCA04467,11/25/2019,Juv̩nile,0,0,0
CCCA04471,11/26/2019,Juv̩nile,0,0,0
CCCA04472,11/26/2019,Juv̩nile,,,0
CCCA04474,11/26/2019,Adulte immature,,,0
CCCA04478,11/27/2019,Adulte,0,0,0
CCCA04480,11/27/2019,Adulte immature,0,0,0
CCCA04481,11/27/2019,Adulte immature,0,0,0
CCCA04476,11/27/2019,Adulte immature,,,0
CCCA04479,11/27/2019,Adulte immature,,,0
CCCA04482,11/27/2019,Adulte immature,,,1
CCCA04484,11/27/2019,Adulte immature,,,0
CCCA04499,11/29/2019,Adulte,0,0,0
CCCA04515,11/29/2019,Adulte,,0,0
CCCA04526,11/30/2019,Adulte,1,0,0
CCCA04544,11/30/2019,Adulte,1,0,0
CCCA03843,5/6/2019,Adulte,0,0,0
